ind,qf,qt,tm,ta,pt,pf
341,-0.008075241007796902,-0.01436117114499888,1.0,0.0,0.0708165789950082,-0.07062897908393546
342,-0.053472613029087526,-0.01834506670902457,1.0,0.0,-0.062405780449810544,0.06292165383041065
343,0.008418663827651319,-0.021576107237728417,1.0,0.0,-0.10492838146673765,0.1050869651455837
344,-0.027863015112839912,0.029069985449548967,1.0,0.0,-0.5115655075284528,0.5175194581267676
345,-0.027927069088435598,0.0020895623660655387,1.0,0.0,0.18334114339360327,-0.18174281809365467
347,0.06825253826343368,-0.09679626070321504,1.0,0.0,-0.4769411031382918,0.48143370426451987
348,0.000351848584165558,-0.03855034253681817,1.0,0.0,0.2399656336246874,-0.2358009778937697
349,0.0842385939609676,-0.10606231215711578,1.0,0.0,0.3202259612635893,-0.3121277068100929
35,-0.38527039154600357,0.7284100943364792,1.0,0.0,-4.654419147713314,4.7660017928042855
350,-0.005753755065905786,-0.004243911266841654,1.0,0.0,-0.08917003993786989,0.0892534084618058
351,-0.008739970477099386,-0.27995440446036174,1.0,0.0,-0.013534772604686707,0.013552852615935784
352,0.11192892818402343,-0.2582600374399744,1.0,0.0,0.017143575951336178,-0.01712529959069681
353,0.20060841269884036,-0.22301561115947174,1.0,0.0,0.18448044222985274,-0.18443484006845517
354,-0.07498658339771717,-0.027324975407591618,1.0,0.0,0.24612468946802843,-0.24603677164118218
355,0.0738613377905684,-0.1431253759014194,1.0,0.0,0.007569549721466046,-0.007558368168299793
356,-0.13465867672631357,0.037334537305035824,1.0,0.0,0.18239066677301832,-0.18233093107012258
359,-0.020398917756247442,0.005979503748120239,1.0,0.0,0.28581550476325196,-0.2856562721647036
36,-0.45096444676152897,0.6759015389519012,1.0,0.0,-4.324435242606103,4.431953386442938
361,-0.10120372110783818,-0.0019116860305626328,1.0,0.0,0.2198302864741672,-0.2197461258768422
362,-0.0792144116350086,0.004057892420912812,1.0,0.0,-0.19329393042987753,0.19331716758995632
365,0.07811841589032732,-0.06292773727028497,1.0,0.0,-0.3288537071055893,0.3288670161622788
367,-0.05083326395205956,-0.00882811590877926,1.0,0.0,0.09975557404363629,-0.09974678293516547
368,-0.12108840064168146,-0.14383144323227395,1.0,0.0,0.663165148150106,-0.6629196792183908
369,0.005593375376955965,-0.019711088789279067,1.0,0.0,-0.3689583291104485,0.37260363798692275
37,0.3207532124232073,-0.20492064881112318,1.0,0.0,1.0006495704001677,-0.9966635919635687
370,-0.05811086898914085,-0.05329633952573382,1.0,0.0,-0.167951578951803,0.16850816553649595
371,-0.008438855400672504,-0.013465096999513943,1.0,0.0,-0.07850531669363885,0.07880068371827428
372,-0.02343790599573112,-0.0031783794583783403,1.0,0.0,0.10361628337188256,-0.1030870792222406
374,-0.025828692386637393,0.01573836516660166,1.0,0.0,0.0018693275162209632,-0.0018611287233483188
375,0.013803571996306689,-0.03496694622828747,1.0,0.0,0.06352144112825832,-0.06334809539810977
376,-0.06611317474892414,-0.0184990462880978,1.0,0.0,0.21205463171693115,-0.21204304520227138
377,-0.05754789201585174,-4.883961185570551e-7,1.0,0.0,-9.92331048289605e-9,8.49413387291556e-6
378,-0.058020385266377844,-4.884287197300419e-7,1.0,0.0,-9.92343512380284e-9,8.739929625643656e-6
38,0.4240761014248959,-0.6319295495904451,1.0,0.0,1.0800859491582044,-1.076655743567342
380,-0.3787427941889381,-0.08674039711049356,1.0,0.0,-0.45966646954828067,0.4600168267782642
382,-0.07178047938555085,0.05776416268336937,1.0,0.0,0.044705067861696826,-0.044584011376770906
383,0.0385659687272528,-0.08127165647953016,1.0,0.0,0.038605808338479666,-0.03825735556995514
384,-0.003818868054780268,0.0008095451208490767,1.0,0.0,0.10944953395424996,-0.10940196180909698
385,0.34552409248850363,-0.34431622778177684,1.0,0.0,-1.4213251377864984,1.4230712678753699
386,0.026887225634098136,-0.04988904229640799,1.0,0.0,-0.3134722859049867,0.3299013245090375
387,0.126488135114739,-0.2091878461326531,1.0,0.0,0.4673124415145818,-0.46708371251681086
388,0.05122705405865015,-0.12851270978983118,1.0,0.0,0.5153803072057022,-0.5151229475166568
389,-0.04467785779038363,-0.07233071623240164,1.0,0.0,-0.1633860567053865,0.1634154321357399
39,-0.3698264406231177,0.027994897646640725,1.0,0.0,-1.9748929239790087,1.996037591582556
390,-0.2869905035661968,0.10812797181834992,1.0,0.0,-0.4773754278118715,0.4775957975311783
391,-0.33345995580758686,0.0483240478582199,1.0,0.0,-0.3839323193539044,0.3841464546916885
392,-0.015349566833175517,0.010013978249802456,1.0,0.0,0.24639990852063295,-0.2456645315217743
393,-0.08355614807125382,0.07782713592911343,1.0,0.0,0.2325046302862508,-0.2321639653312677
394,0.18554146620875878,-0.1880968617480134,1.0,0.0,-0.3973913559453931,0.40089790930297325
395,0.029598622499428316,-0.06300771509169968,1.0,0.0,0.8933761788790466,-0.8904902904056272
396,0.023109514014314343,-0.07192862011595022,1.0,0.0,0.6761932184826155,-0.67523401501578
397,0.05178280049121732,-0.06324725555457852,1.0,0.0,-0.23256667963140867,0.23447729417793137
398,0.08314873592675506,-0.08749355797532496,1.0,0.0,0.22961610940258206,-0.2292249531310801
399,-0.08205254017651936,0.031223476372754105,1.0,0.0,-0.11338671322001694,0.11529740877661879
4,-0.036092772814516394,0.03628804189231197,1.0,0.0,3.5796983619915757e-5,0.0
40,0.31727042324712823,-0.5649241126603555,1.0,0.0,2.009660139625903,-1.9926883881582864
400,0.046956028305748826,-0.08195320158874349,1.0,0.0,0.1885649781498733,-0.18845151912817898
403,-0.08596877605408319,0.03312761121361341,1.0,0.0,-0.12371032177745248,0.12550593658539683
404,-0.0011355056294270359,-0.022460722753557892,1.0,0.0,-0.2563107588621521,0.256434394953039
405,0.06340342840552705,-0.08319297575675928,1.0,0.0,0.060060663207425265,-0.05971623915929637
406,0.07816634156983514,-0.0522933430175531,1.0,0.0,-1.2243811496241699,1.2297579052484349
408,0.08858756131976514,-0.09082303625867762,1.0,0.0,-0.3306593000190593,0.3327342364022831
409,-0.0797608607632529,0.06810797698797612,1.0,0.0,0.31870594783117656,-0.31288085538376653
41,0.18834907050481922,-0.47383011753248283,1.0,0.0,1.7554010795822788,-1.7435246632546697
411,0.19971285654507173,-0.2611857612484058,1.0,0.0,2.671437177532853,-2.6680508495301
412,-0.017669313070257996,-0.0030846558279843594,1.0,0.0,-0.5866413552955658,0.5879266823117048
414,-0.06970131747458194,0.059604528849694915,1.0,0.0,-0.3229640183516244,0.3232225131873032
415,0.15469881372986774,-0.15827016369869304,1.0,0.0,0.13890516496918076,-0.13858287137636197
417,-0.20490181674221158,0.21942649802748676,1.0,0.0,-0.5476010045501727,0.554621406764986
419,-0.23086945251289118,0.23400006715372978,1.0,0.0,1.0852895923647272,-1.0830692411938072
42,-0.2751694733554544,0.1030877380204947,1.0,0.0,-1.2200123971349235,1.2221773656543833
420,0.01173572628602185,-0.024584627020225482,1.0,0.0,-0.3649968451677007,0.37478275646638115
421,-0.02211139133743311,0.018759049131104294,1.0,0.0,0.281225157828522,-0.2807988390520943
422,-0.08884882130730806,0.04255505818848811,1.0,0.0,-0.19654241617830107,0.20044505112994576
423,-0.02881946201205374,-0.003630881097126253,1.0,0.0,-0.035813565498482726,0.035813924952900957
426,-0.023916731650484014,0.021968576292549575,1.0,0.0,0.03453624088241097,-0.034511598209747515
427,-0.022963203514928317,0.020998983995352154,1.0,0.0,0.03502496977065067,-0.035001390847530775
428,-0.02570144036952636,0.02442066856549995,1.0,0.0,0.03228137310293072,-0.032270863020052054
429,-0.0834038582188073,0.08986367959417654,1.0,0.0,-0.2611646585558746,0.26404663423311836
43,0.162658455687775,-0.21356001159637336,1.0,0.0,2.9199934669110137,-2.9064369867263826
