elm_loc_name,elm_PfFlag,elm_VFlag,elm_Tp,elm_Kqp,elm_Kqi,elm_QFlag,elm_Kvp,elm_Kvi,elm_Trv,elm_db1,elm_db2,elm_Kqv,elm_Vdip,elm_Vup,elm_Tiq,elm_Tpord,elm_PqFlag,elm_Imax,elm_Vref0,elm_Qmin,elm_Vmin,elm_Iql1,elm_Pmin,elm_dPmin,elm_Qmax,elm_Vmax,elm_Iqh1,elm_Pmax,elm_dPmax,con_gen
REEC_B_gen_3109_1,0.0,1.0,0.02,1.0,0.7,0.0,1.0,0.7,0.02,-0.05,0.05,2.0,0.8,1.15,0.02,0.02,0.0,1.3,0.0,-0.43,0.8,-1.44,0.0,-999.0,0.43,1.15,1.44,1.0,999.0,gen_3109_1.ElmPvsys
REEC_B_gen_3272_1,0.0,1.0,0.02,1.0,0.7,0.0,1.0,0.7,0.02,-0.05,0.05,2.0,0.8,1.15,0.02,0.02,0.0,1.3,0.0,-0.43,0.8,-1.44,0.0,-999.0,0.43,1.15,1.44,1.0,999.0,gen_3272_1.ElmPvsys
REEC_B_gen_3275_1,0.0,1.0,0.02,1.0,0.7,0.0,1.0,0.7,0.02,-0.05,0.05,2.0,0.8,1.15,0.02,0.02,0.0,1.3,0.0,-0.43,0.8,-1.44,0.0,-999.0,0.43,1.15,1.44,1.0,999.0,gen_3275_1.ElmPvsys
REEC_B_gen_3285_1,0.0,1.0,0.02,1.0,0.7,0.0,1.0,0.7,0.02,-0.05,0.05,2.0,0.8,1.15,0.02,0.02,0.0,1.3,0.0,-0.43,0.8,-1.44,0.0,-999.0,0.43,1.15,1.44,1.0,999.0,gen_3285_1.ElmPvsys
REEC_B_gen_3544_1,0.0,1.0,0.02,1.0,0.7,0.0,1.0,0.7,0.02,-0.05,0.05,2.0,0.8,1.15,0.02,0.02,0.0,1.3,0.0,-0.43,0.8,-1.44,0.0,-999.0,0.43,1.15,1.44,1.0,999.0,gen_3544_1.ElmPvsys
REEC_B_gen_3548_1,0.0,1.0,0.02,1.0,0.7,0.0,1.0,0.7,0.02,-0.05,0.05,2.0,0.8,1.15,0.02,0.02,0.0,1.3,0.0,-0.43,0.8,-1.44,0.0,-999.0,0.43,1.15,1.44,1.0,999.0,gen_3548_1.ElmPvsys
REEC_B_gen_3559_1,0.0,1.0,0.02,1.0,0.7,0.0,1.0,0.7,0.02,-0.05,0.05,2.0,0.8,1.15,0.02,0.02,0.0,1.3,0.0,-0.43,0.8,-1.44,0.0,-999.0,0.43,1.15,1.44,1.0,999.0,gen_3559_1.ElmPvsys
REEC_B_gen_3562_1,0.0,1.0,0.02,1.0,0.7,0.0,1.0,0.7,0.02,-0.05,0.05,2.0,0.8,1.15,0.02,0.02,0.0,1.3,0.0,-0.43,0.8,-1.44,0.0,-999.0,0.43,1.15,1.44,1.0,999.0,gen_3562_1.ElmPvsys
REEC_B_gen_3590_1,0.0,1.0,0.02,1.0,0.7,0.0,1.0,0.7,0.02,-0.05,0.05,2.0,0.8,1.15,0.02,0.02,0.0,1.3,0.0,-0.43,0.8,-1.44,0.0,-999.0,0.43,1.15,1.44,1.0,999.0,gen_3590_1.ElmPvsys
REEC_B_gen_3592_1,0.0,1.0,0.02,1.0,0.7,0.0,1.0,0.7,0.02,-0.05,0.05,2.0,0.8,1.15,0.02,0.02,0.0,1.3,0.0,-0.43,0.8,-1.44,0.0,-999.0,0.43,1.15,1.44,1.0,999.0,gen_3592_1.ElmPvsys
