hour,disturbance_gen,disturbance_size,δ_stab,overspeed,underspeed,end_time,out_of_step,out_of_step_time,nadir,nadir_time
9,wtg_Q7_1,641.0,true,false,false,20.0,false,0.0,49.84368995761076,10.4316666667
9,wtg_Q8_1,3287.0,true,false,false,20.0,true,8.2383333333,49.07413050334383,18.145
9,wtg_Q9_1,1543.0,true,false,false,20.0,false,0.0,49.60490267189247,10.725
9,wtg_S3_1,599.0,true,false,false,20.0,false,0.0,49.79067108625445,8.9016666667
9,wtg_V3_1,1368.0,true,false,false,20.0,false,0.0,49.34210137329211,1.8616666667
9,wtg_V4_1,1140.0,true,false,false,20.0,false,0.0,49.51944950485574,1.6016666667
9,wtg_V5_1,1811.0,true,false,false,20.0,false,0.0,49.31688570881249,1.7416666667
10,wtg_N3_1,5371.0,false,true,true,20.0,true,7.5283333333,48.39529317490966,13.4
10,wtg_N5_1,1845.0,true,false,false,20.0,false,0.0,49.17744174899842,1.7616666667
10,wtg_Q4_1,871.0,false,true,false,20.0,true,13.745,49.744129194506066,10.315
10,wtg_Q7_1,717.0,true,false,false,20.0,false,0.0,49.829639386986806,10.4616666667
10,wtg_Q8_1,3219.0,true,false,false,20.0,true,8.1283333333,49.03871382493046,17.96
10,wtg_Q9_1,1502.0,true,false,false,20.0,false,0.0,49.6005903736503,11.0
10,wtg_S3_1,592.0,true,false,false,20.0,false,0.0,49.792345792129744,8.9316666667
10,wtg_V3_1,1377.0,true,false,false,20.0,false,0.0,49.3409297358023,1.8716666667
10,wtg_V4_1,1115.0,true,false,false,20.0,false,0.0,49.52858552609762,1.6016666667
10,wtg_V5_1,1808.0,true,false,false,20.0,false,0.0,49.31843434381087,1.7616666667
11,wtg_N3_1,5389.0,false,true,true,20.0,true,7.0583333333,48.30873514950842,12.8366666667
11,wtg_N5_1,1743.0,true,false,false,20.0,false,0.0,49.20987589859724,1.7616666667
11,wtg_Q4_1,854.0,false,true,false,20.0,true,14.2316666667,49.75133282347003,10.2116666667
11,wtg_Q7_1,941.0,true,false,false,20.0,false,0.0,49.79598578129002,10.5316666667
11,wtg_Q8_1,3009.0,true,false,false,20.0,true,11.9983333333,49.19614833429582,15.4783333333
11,wtg_Q9_1,1454.0,false,true,false,20.0,true,15.605,49.590065461823144,10.675
11,wtg_S3_1,492.0,true,false,false,20.0,false,0.0,49.820164074235066,8.6116666667
11,wtg_V3_1,1350.0,true,false,false,20.0,false,0.0,49.35548982935026,1.8716666667
11,wtg_V4_1,1123.0,true,false,false,20.0,false,0.0,49.52991264948432,1.6116666667
11,wtg_V5_1,1839.0,true,false,false,20.0,false,0.0,49.3140538149551,1.7616666667
12,conv_3550_Q6,406.0,true,false,false,20.0,false,0.0,49.91086813549107,9.6516666667
12,wtg_N3_1,5114.0,true,false,false,20.0,true,3.9483333333,48.084943301629544,19.81
12,wtg_N5_1,1131.0,true,false,false,20.0,false,0.0,49.45169566856782,1.6616666667
12,wtg_Q4_1,840.0,false,true,false,20.0,true,14.1116666667,49.77489307545376,8.6516666667
12,wtg_Q7_1,890.0,true,false,false,20.0,false,0.0,49.783627907593356,9.4916666667
12,wtg_Q8_1,2733.0,true,false,false,20.0,false,0.0,49.55151145414667,9.1316666667
12,wtg_Q9_1,1348.0,false,true,false,20.0,true,14.035,49.578236138936155,9.7566666667
12,wtg_S3_1,583.0,true,false,false,20.0,false,0.0,49.8218913774429,7.7516666667
12,wtg_V4_1,2122.0,true,false,false,20.0,false,0.0,49.23250711925634,1.4916666667
12,wtg_V5_1,1829.0,true,false,false,20.0,false,0.0,49.30377609282391,1.5616666667
13,pv_N3_1,989.0,true,false,false,20.0,false,0.0,49.64759626637421,1.7516666667
13,pv_V3_1,560.0,true,false,false,20.0,false,0.0,49.73006044978953,1.5316666667
13,wtg_N3_1,2787.0,true,false,false,20.0,false,0.0,49.12205864265546,1.3616666667
13,wtg_N5_1,679.0,true,false,false,20.0,false,0.0,49.63031258471991,1.6316666667
13,wtg_Q7_1,712.0,true,false,false,20.0,false,0.0,49.793340053833084,9.8316666667
13,wtg_Q8_1,2466.0,true,false,false,20.0,true,18.8416666667,49.43835105874029,9.5316666667
13,wtg_Q9_1,1250.0,true,false,false,20.0,false,0.0,49.52599014206937,9.7233333333
13,wtg_S3_1,574.0,true,false,false,20.0,false,0.0,49.81522424763476,8.1916666667
13,wtg_V4_1,1161.0,true,false,false,20.0,false,0.0,49.44730046891225,1.6816666667
13,wtg_V5_1,1837.0,true,false,false,20.0,false,0.0,49.27821326253179,1.5716666667
14,gen_1149,400.0,true,false,false,20.0,false,0.0,49.81912712544357,2.3216666667
14,pv_N3_1,1227.0,true,false,false,20.0,false,0.0,49.47043760313207,2.2316666667
14,pv_V3_1,442.0,true,false,false,20.0,false,0.0,49.71770022122842,1.8616666667
14,wtg_N3_1,1462.0,true,false,false,20.0,false,0.0,49.25340431915036,1.8016666667
14,wtg_Q7_1,838.0,true,false,false,20.0,false,0.0,49.71922033735836,9.3316666667
14,wtg_Q8_1,2434.0,true,false,false,20.0,false,0.0,49.20329256580232,8.9616666667
14,wtg_Q9_1,1194.0,true,false,false,20.0,false,0.0,49.31411081588857,8.875
14,wtg_S3_1,413.0,true,false,false,20.0,false,0.0,49.81591787826615,8.2116666667
14,wtg_V4_1,500.0,true,false,false,20.0,false,0.0,49.602844995423226,2.1116666667
14,wtg_V5_1,1826.0,true,false,false,20.0,false,0.0,49.028181649581754,2.0316666667
15,gen_1149,697.0,true,false,false,20.0,false,0.0,49.65440643882238,7.7116666667
15,pv_N3_1,786.0,true,false,false,20.0,false,0.0,49.558881540238986,2.3216666667
15,pv_Q8_1,2426.0,true,false,false,20.0,false,0.0,48.96802420077924,8.9016666667
15,pv_V1_1,524.0,true,false,false,20.0,false,0.0,49.70464187993213,2.2216666667
15,wtg_N3_1,840.0,true,false,false,20.0,false,0.0,49.429844414643966,1.8416666667
15,wtg_Q4_1,455.0,true,false,false,20.0,false,0.0,49.743852085081876,8.2216666667
15,wtg_Q7_1,835.0,true,false,false,20.0,false,0.0,49.63689357009923,8.2616666667
15,wtg_Q9_1,1156.0,true,false,false,20.0,false,0.0,49.025797222063005,3.305
15,wtg_S3_1,397.0,true,false,false,20.0,false,0.0,49.79439085705511,8.7316666667
15,wtg_V5_1,1768.0,true,false,false,20.0,false,0.0,48.971470547988126,2.1116666667
16,gen_1149,678.0,true,false,false,20.0,false,0.0,49.701745042301724,7.4416666667
16,pv_N3_1,480.0,true,false,false,20.0,false,0.0,49.73116771665301,2.0916666667
16,pv_Q7_1,816.0,true,false,false,20.0,false,0.0,49.67423147110534,7.8816666667
16,pv_Q8_1,2067.0,true,false,false,20.0,false,0.0,49.24179718439408,8.1216666667
16,pv_V1_1,566.0,true,false,false,20.0,false,0.0,49.7445648022938,7.4716666667
16,wtg_N3_1,534.0,true,false,false,20.0,false,0.0,49.63865421904683,1.6516666667
16,wtg_Q4_1,436.0,true,false,false,20.0,false,0.0,49.76512988255101,7.5316666667
16,wtg_Q9_1,1014.0,true,false,false,20.0,false,0.0,49.07468105240449,2.3666666667
