name,x,y
bus_1468,4176.0,7311.0
bus_1472,5203.0,5847.0
bus_1473,5517.0,8327.0
bus_1474,6240.0,9020.0
bus_1475,6194.0,5208.0
bus_1477,5295.0,8139.0
bus_1478,4655.0,6189.0
bus_1479,4951.0,5014.0
bus_1480,4916.0,4704.0
bus_1481,4952.0,5091.0
bus_1482,4918.0,5027.0
bus_1483,4985.0,6848.0
bus_1486,5585.0,6118.0
bus_1488,4376.0,7616.0
bus_1496,4589.0,7640.0
bus_1497,4947.0,4693.0
bus_1498,2944.0,8625.0
bus_1499,4722.0,5969.0
bus_1501,4131.0,6514.0
bus_1502,4236.0,7651.0
bus_1504,4651.0,5495.0
bus_1507,4872.0,4382.0
bus_1508,4431.0,5768.0
bus_1509,4151.0,7530.0
bus_1510,5927.0,8415.0
bus_1512,6143.0,8799.0
bus_1513,4768.0,6732.0
bus_1515,4640.0,6620.0
bus_1517,4952.0,5288.0
bus_1518,4458.0,6366.0
bus_1519,3996.0,6081.0
bus_1521,3895.0,6003.0
bus_1522,4034.0,8131.0
bus_1524,4012.0,8118.0
bus_1525,4771.0,6830.0
bus_1527,5931.0,8944.0
bus_1528,5261.0,6046.0
bus_1529,5249.0,6057.0
bus_1530,5010.0,5956.0
bus_1531,5759.0,7903.0
bus_1534,4562.0,6126.0
bus_1535,6076.0,9049.0
bus_1538,4938.0,6547.0
bus_1544,5451.0,7834.0
bus_1546,5309.0,7852.0
bus_1547,4726.0,7720.0
bus_1548,4744.0,6449.0
bus_1549,4390.0,6648.0
bus_1550,4380.0,6622.0
bus_1553,5226.0,6184.0
bus_1554,6337.0,8623.0
bus_1555,5509.0,6212.0
bus_1556,4565.0,6254.0
bus_1557,4902.0,8161.0
bus_1558,4134.0,7651.0
bus_1559,5829.0,8584.0
bus_1560,4531.0,6650.0
bus_1561,4744.0,3985.0
bus_1563,5490.0,8385.0
bus_1564,5621.0,5615.0
bus_1565,5580.0,5587.0
bus_1567,5108.0,8114.0
bus_1568,4061.0,6483.0
bus_1569,5215.0,6268.0
bus_1571,4650.0,6332.0
bus_1572,6271.0,9056.0
bus_1573,6251.0,9067.0
bus_1574,3636.0,7098.0
bus_1575,5102.0,6221.0
bus_1576,4919.0,5913.0
bus_1577,5090.0,5960.0
bus_1578,6560.0,9230.0
bus_1581,4085.0,8068.0
bus_1582,6438.0,8639.0
bus_1583,4880.0,4490.0
bus_1584,6189.0,8976.0
bus_1585,4165.0,7551.0
bus_1587,5739.0,4323.0
bus_1589,6110.0,8765.0
bus_1590,5080.0,6873.0
bus_1591,6198.0,9145.0
bus_1592,4984.0,8144.0
bus_1593,7035.0,9578.0
bus_1594,6779.0,9359.0
bus_1595,6923.0,9418.0
bus_1596,7040.0,9484.0
bus_1597,2962.0,8663.0
bus_1598,6967.0,9412.0
bus_1599,2964.0,8631.0
bus_1600,2952.0,8684.0
bus_1601,6891.0,9387.0
bus_1602,5828.0,7888.0
bus_1604,5556.0,6138.0
bus_1607,6634.0,8905.0
bus_1610,5153.0,5994.0
bus_1611,6281.0,8835.0
bus_1613,6202.0,8613.0
bus_1614,6639.0,4855.0
bus_1615,6669.0,4895.0
bus_1618,6854.0,9555.0
bus_1620,4894.0,5107.0
bus_1621,4933.0,8146.0
bus_1622,6345.0,8949.0
bus_1623,5982.0,8524.0
bus_1624,3492.0,7049.0
bus_1625,4387.0,6555.0
bus_1626,4413.0,6180.0
bus_1627,3724.0,7073.0
bus_1629,5933.0,8652.0
bus_1630,4965.0,8241.0
bus_1631,6180.0,8913.0
bus_1633,6013.0,5409.0
bus_1636,4059.0,7475.0
bus_1638,5589.0,8370.0
bus_1639,5574.0,8394.0
bus_1640,4611.0,6106.0
bus_1645,4919.0,4949.0
bus_1647,3888.0,7154.0
bus_1648,6294.0,9248.0
bus_1649,4595.0,7731.0
bus_1650,4969.0,4629.0
bus_1651,2934.0,8700.0
bus_1652,4074.0,7145.0
bus_1653,4061.0,7121.0
bus_1654,3447.0,7119.0
bus_1655,3457.0,7143.0
bus_1656,3451.0,7166.0
bus_1658,6864.0,9387.0
bus_2000,4124.0,1985.0
bus_2001,4090.0,2513.0
bus_2002,4109.0,2491.0
bus_2003,5050.0,3606.0
bus_2004,5055.0,3633.0
bus_2005,4230.0,2399.0
bus_2006,4217.0,2397.0
bus_2007,4227.0,2292.0
bus_2008,4206.0,2290.0
bus_2010,4033.0,2757.0
bus_2011,4055.0,2736.0
bus_2012,5097.0,3736.0
bus_2014,4980.0,3560.0
bus_2015,4915.0,3339.0
bus_2016,4903.0,3321.0
bus_2017,4166.0,3191.0
bus_2021,4829.0,4716.0
bus_2024,4837.0,4734.0
bus_2028,4807.0,4691.0
